word,count,journal,in_that_journal
Consensus Sequence,146,The Journal of biological chemistry,17
Nitric Oxide Synthase Type II,146,Biochemical and biophysical research communications,11
Antigen Presentation,146,"Journal of immunology (Baltimore, Md. : 1950)",40
Emotions,146,Proceedings of the National Academy of Sciences of the United States of America,6
Calmodulin,145,The Journal of biological chemistry,26
Carotid Arteries,145,Stroke; a journal of cerebral circulation,15
New Zealand,145,The New Zealand medical journal,70
Fibrosis,145,Circulation,7
Proline,145,The Journal of biological chemistry,13
Heart Transplantation,145,Transplantation,31
Etoposide,144,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,15
"Pregnancy Complications, Infectious",144,American journal of obstetrics and gynecology,16
Atrial Fibrillation,144,The American journal of cardiology,23
"Antigens, Protozoan",144,The American journal of tropical medicine and hygiene,21
Cooperative Behavior,144,The Journal of applied psychology,5
Neural Conduction,144,Muscle & nerve,22
Blood Vessel Prosthesis,144,Journal of vascular surgery,38
Russia,144,Gigiena i sanitariia,20
Autopsy,144,Human pathology,5
"Microscopy, Immunoelectron",144,The Journal of biological chemistry,14
Water Purification,144,Water science and technology : a journal of the International Association on Water Pollution Research,47
Heme,144,The Journal of biological chemistry,30
Bacterial Adhesion,144,Infection and immunity,31
Candida albicans,144,Infection and immunity,13
Water Supply,144,Water science and technology : a journal of the International Association on Water Pollution Research,22
Gastrointestinal Hemorrhage,143,The American journal of gastroenterology,8
Simian virus 40,143,Journal of virology,25
Plant Diseases,143,Archives of virology,16
"Stimulation, Chemical",143,The Biochemical journal,11
Attitude,143,The Journal of applied psychology,14
Mandible,143,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,32
Central Nervous System,143,The Journal of neuroscience : the official journal of the Society for Neuroscience,9
Benzamides,143,Journal of medicinal chemistry,10
Gamma Rays,143,Radiation research,20
Silicon Dioxide,143,Langmuir : the ACS journal of surfaces and colloids,20
Thrombin,143,The Journal of biological chemistry,20
Triiodothyronine,143,Endocrinology,18
Colforsin,143,The American journal of physiology,17
Bile,142,The American journal of physiology,12
Calcinosis,142,The American journal of cardiology,10
Matrix Metalloproteinase 9,142,The Journal of biological chemistry,4
Chromatography,142,The Biochemical journal,18
"Angioplasty, Balloon, Coronary",142,The American journal of cardiology,29
Morphine,142,Life sciences,19
"Anesthetics, Local",142,Anesthesia and analgesia,19
Glucose Tolerance Test,142,Diabetes,18
Simplexvirus,142,Journal of virology,26
Electron Transport,141,Biochemistry,26
"RNA, Transfer",141,Nucleic acids research,31
"Antibodies, Monoclonal, Humanized",141,American journal of ophthalmology,8
Cytomegalovirus,141,Journal of virology,17
Bayes Theorem,141,Molecular phylogenetics and evolution,28
Cervix Uteri,141,American journal of obstetrics and gynecology,14
Hydrophobic and Hydrophilic Interactions,141,Langmuir : the ACS journal of surfaces and colloids,17
Anemia,141,Blood,5
"Neoplasms, Multiple Primary",141,Cancer,13
Mesoderm,141,"Development (Cambridge, England)",42
Precancerous Conditions,141,Cancer research,13
Diagnostic Errors,141,Journal of clinical microbiology,10
"Carcinoma, Transitional Cell",141,The Journal of urology,31
Cytoplasmic Granules,141,The Journal of cell biology,10
Arterial Occlusive Diseases,141,Journal of vascular surgery,18
"Transduction, Genetic",141,Journal of bacteriology,22
"Animals, Genetically Modified",140,"Development (Cambridge, England)",17
Haplorhini,140,"Science (New York, N.Y.)",9
"Chemotaxis, Leukocyte",140,"Journal of immunology (Baltimore, Md. : 1950)",18
Microscopy,140,Malaria journal,8
"Receptors, Progesterone",140,Cancer,7
Teaching,140,Academic medicine : journal of the Association of American Medical Colleges,11
Endometrium,140,Fertility and sterility,26
"Genes, Plant",140,Plant molecular biology,29
Health Behavior,140,International journal of adolescent medicine and health,5
Flavonoids,140,The Journal of biological chemistry,10
Aortic Valve,139,The Annals of thoracic surgery,29
Platelet Count,139,Blood,12
Pulmonary Embolism,139,Radiology,8
Edetic Acid,139,Biochimica et biophysica acta,12
"Genome, Human",139,Nucleic acids research,13
"History, 19th Century",139,The Annals of thoracic surgery,4
Colony-Forming Units Assay,139,Experimental hematology,25
Vero Cells,138,Journal of virology,30
Ion Channel Gating,138,The Journal of biological chemistry,23
Luminescent Measurements,138,Biochemical and biophysical research communications,8
Peptide Mapping,138,The Journal of biological chemistry,49
Health Policy,138,American journal of public health,11
Type C Phospholipases,138,The Journal of biological chemistry,19
Disease Susceptibility,138,The Journal of infectious diseases,7
Concanavalin A,138,"Journal of immunology (Baltimore, Md. : 1950)",15
Cyclin-Dependent Kinase Inhibitor p21,138,Oncogene,16
Mammography,138,AJR. American journal of roentgenology,12
Angina Pectoris,138,The American journal of cardiology,26
"Tomography, Optical Coherence",138,Investigative ophthalmology & visual science,20
Glaucoma,138,The British journal of ophthalmology,17
Elasticity,138,Biophysical journal,19
"Microscopy, Atomic Force",137,Langmuir : the ACS journal of surfaces and colloids,25
Medical Records,137,Pediatrics,4
Tubulin,137,The Journal of biological chemistry,16
"Image Interpretation, Computer-Assisted",137,Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention,38
Hydrogen,137,Biochemistry,12
Cell Hypoxia,137,Cancer research,11
Physicians,137,Medical care,10
Dementia,137,Neurology,14
Demography,137,Molecular ecology,8
Biophysical Phenomena,137,Biophysical journal,72
Respiratory Tract Infections,137,The Japanese journal of antibiotics,9
"Receptor, ErbB-2",137,Cancer research,12
Kidney Glomerulus,137,The American journal of physiology,14
Computers,137,Radiology,6
Anesthesia,136,Anesthesia and analgesia,21
"Embolization, Therapeutic",136,Journal of neurosurgery,10
Ubiquitin-Protein Ligases,136,The Journal of biological chemistry,30
Specimen Handling,136,Journal of clinical microbiology,14
Electrodes,136,Langmuir : the ACS journal of surfaces and colloids,10
Catecholamines,136,The American journal of cardiology,7
Saliva,136,Infection and immunity,11
Fever,136,The Journal of infectious diseases,5
Cyclic AMP-Dependent Protein Kinases,136,The Journal of biological chemistry,20
Osteoblasts,136,Biochemical and biophysical research communications,15
Leptin,135,The Journal of clinical endocrinology and metabolism,12
"Phantoms, Imaging",135,Medical physics,51
Chorionic Gonadotropin,135,Fertility and sterility,22
In Situ Nick-End Labeling,135,"Development (Cambridge, England)",5
Edema,135,Arzneimittel-Forschung,6
Mitochondrial Proteins,135,The Journal of biological chemistry,20
NADP,135,The Journal of biological chemistry,24
Fertility,135,Fertility and sterility,19
Muramidase,135,The journal of physical chemistry. B,8
Pulmonary Alveoli,135,American journal of physiology. Lung cellular and molecular physiology,12
HIV Seropositivity,135,AIDS research and human retroviruses,8
Arabidopsis Proteins,135,Proceedings of the National Academy of Sciences of the United States of America,21
Integrins,135,The Journal of biological chemistry,15
Antigen-Presenting Cells,135,"Journal of immunology (Baltimore, Md. : 1950)",33
Employment,134,The Journal of applied psychology,9
Hispanic Americans,134,American journal of public health,11
Femoral Artery,134,Journal of vascular surgery,23
Hybrid Cells,134,Cytogenetics and cell genetics,18
Hepatitis B virus,134,"Hepatology (Baltimore, Md.)",17
"Genetics, Population",134,Molecular ecology,40
Virion,134,Journal of virology,57
X Chromosome,134,American journal of human genetics,14
Prosthesis Failure,134,The Journal of bone and joint surgery. British volume,21
Meat,134,Poultry science,21
"Accidents, Traffic",134,The Journal of trauma,18
"Cholesterol, HDL",133,The American journal of clinical nutrition,9
Reproduction,133,Proceedings of the National Academy of Sciences of the United States of America,9
"Electrophoresis, Gel, Two-Dimensional",133,The Journal of biological chemistry,16
"Wounds, Nonpenetrating",133,The Journal of trauma,34
"Surgical Procedures, Operative",133,Anesthesiology,9
Ribonucleases,133,Biochemistry,13
Antipsychotic Agents,133,The Journal of clinical psychiatry,31
"Genes, ras",133,International journal of cancer. Journal international du cancer,15
Social Class,133,BMJ (Clinical research ed.),6
Urinary Tract Infections,133,The Journal of urology,12
Finland,133,American journal of epidemiology,4
Drug Design,133,Journal of medicinal chemistry,37
Neuropeptides,133,The Journal of biological chemistry,14
"Receptors, Interleukin-2",133,"Journal of immunology (Baltimore, Md. : 1950)",22
Eosinophils,133,"Journal of immunology (Baltimore, Md. : 1950)",17
Prednisolone,132,Clinical nephrology,5
Isoelectric Focusing,132,The Journal of biological chemistry,15
Alanine Transaminase,132,"Hepatology (Baltimore, Md.)",14
Atrophy,132,Neurology,15
Helicobacter Infections,132,Helicobacter,21
Bacteriophages,132,Journal of bacteriology,17
Poland,132,Medycyna pracy,26
Xenograft Model Antitumor Assays,132,Cancer research,30
Eye,132,Investigative ophthalmology & visual science,13
Tamoxifen,132,The Journal of steroid biochemistry and molecular biology,11
Glycerol,132,Journal of bacteriology,11
Population Dynamics,132,Ecology,22
Organophosphorus Compounds,132,Biochemistry,7
Nutritional Status,132,The American journal of clinical nutrition,19
"Range of Motion, Articular",132,The Journal of bone and joint surgery. American volume,20
Osteosarcoma,132,Clinical orthopaedics and related research,7
Cell Compartmentation,132,The Journal of biological chemistry,20
Thrombocytopenia,132,Blood,15
"Leukemia, Lymphoid",131,Blood,14
Pyrroles,131,Journal of medicinal chemistry,9
Hand,131,Archives of physical medicine and rehabilitation,9
Laminin,131,The Journal of biological chemistry,13
"Ventricular Dysfunction, Left",131,Journal of the American College of Cardiology,18
Horse Diseases,131,Equine veterinary journal,37
Vision Disorders,131,Ophthalmology,13
Cerebral Angiography,131,Journal of neurosurgery,27
Fertilization in Vitro,131,Fertility and sterility,71
Caenorhabditis elegans,131,Developmental biology,12
Learning,131,The Journal of neuroscience : the official journal of the Society for Neuroscience,15
Endometrial Neoplasms,130,Gynecologic oncology,34
Streptomyces,130,The Journal of antibiotics,25
Pituitary Neoplasms,130,The Journal of clinical endocrinology and metabolism,24
"Tomography, Emission-Computed, Single-Photon",130,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",33
Evoked Potentials,130,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,11
Capsid Proteins,130,Journal of virology,39
Organic Chemicals,130,Environmental science & technology,27
Mitral Valve,130,The Annals of thoracic surgery,22
Alkaloids,130,Journal of natural products,15
Ovariectomy,130,Endocrinology,19
Carbohydrates,129,The Journal of biological chemistry,16
Sarcoplasmic Reticulum,129,The Journal of biological chemistry,19
Forkhead Transcription Factors,129,"Journal of immunology (Baltimore, Md. : 1950)",14
"Malaria, Falciparum",129,Malaria journal,26
"Antigens, CD34",129,Blood,35
Biocompatible Materials,129,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,9
Analgesics,129,The Journal of pharmacology and experimental therapeutics,11
Sodium-Potassium-Exchanging ATPase,129,The American journal of physiology,19
Neutropenia,129,Blood,8
"Administration, Inhalation",129,Chest,13
Arachidonic Acids,129,The Journal of biological chemistry,13
Skin Transplantation,129,Transplantation,14
"Spectrophotometry, Infrared",129,The journal of physical chemistry. B,13
Chemotaxis,129,"Journal of immunology (Baltimore, Md. : 1950)",11
"Receptors, Tumor Necrosis Factor",129,"Journal of immunology (Baltimore, Md. : 1950)",12
Aerosols,128,Environmental science & technology,11
Isomerism,128,The Journal of biological chemistry,10
Receptor Protein-Tyrosine Kinases,128,The Journal of biological chemistry,17
"Selection, Genetic",128,Proceedings of the National Academy of Sciences of the United States of America,20
DNA Helicases,128,The Journal of biological chemistry,26
Peroxidase,128,Clinical and experimental immunology,5
Bile Acids and Salts,128,"Hepatology (Baltimore, Md.)",11
Medicare,128,Medical care,13
Atrial Natriuretic Factor,128,The American journal of physiology,22
Mitogen-Activated Protein Kinase 1,128,The Journal of biological chemistry,36
"Receptors, N-Methyl-D-Aspartate",128,The Journal of neuroscience : the official journal of the Society for Neuroscience,30
Tissue Donors,128,Transplantation,33
Tibia,127,Clinical orthopaedics and related research,24
Angiotensin-Converting Enzyme Inhibitors,127,Hypertension,10
Skin Diseases,127,Journal of the American Academy of Dermatology,20
Transforming Growth Factor beta1,127,The Journal of biological chemistry,9
Parity,127,Obstetrics and gynecology,14
Skin Tests,127,The Journal of allergy and clinical immunology,31
Blood Coagulation,127,Blood,9
"Immunization, Passive",127,"Journal of immunology (Baltimore, Md. : 1950)",20
Pseudomonas,127,Journal of bacteriology,31
Stromal Cells,127,Blood,11
Transgenes,127,"Development (Cambridge, England)",8
Glycosaminoglycans,127,The Journal of biological chemistry,16
Femur,127,Clinical orthopaedics and related research,33
Phospholipases A,127,Biochimica et biophysica acta,15
Electrophoresis,126,The Biochemical journal,13
Dactinomycin,126,Journal of virology,7
"Cations, Divalent",126,The Journal of biological chemistry,22
Ammonia,126,Journal of bacteriology,7
Developing Countries,126,Lancet,7
"Cartilage, Articular",126,Arthritis and rheumatism,21
Microfilament Proteins,126,The Journal of biological chemistry,12
Carbohydrate Sequence,125,The Journal of biological chemistry,31
"Myocytes, Cardiac",125,American journal of physiology. Heart and circulatory physiology,23
Fluorodeoxyglucose F18,125,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",29
Agriculture,125,Journal of environmental quality,21
Personality Inventory,125,Psychological reports,24
Veins,125,Journal of vascular surgery,9
South Africa,125,The Onderstepoort journal of veterinary research,17
HL-60 Cells,125,The Journal of biological chemistry,14
Cytochrome c Group,125,Biochemistry,15
Histamine,125,The Journal of allergy and clinical immunology,10
Osteoarthritis,125,Arthritis and rheumatism,18
"Infusions, Parenteral",125,The Japanese journal of antibiotics,10
Regeneration,125,Developmental biology,11
Seeds,125,Plant molecular biology,12
Sucrose,125,Journal of bacteriology,8
Inflammation Mediators,124,"Journal of immunology (Baltimore, Md. : 1950)",20
Lead,124,Environmental research,12
"Antigens, CD3",124,"Journal of immunology (Baltimore, Md. : 1950)",18
"Injections, Intramuscular",124,Lancet,5
Streptococcus,124,Infection and immunity,15
Pneumonia,124,"Journal of immunology (Baltimore, Md. : 1950)",8
Aldosterone,124,Hypertension,12
Ubiquitin,124,The Journal of biological chemistry,25
Bicarbonates,124,The American journal of physiology,22
Hybridomas,124,"Journal of immunology (Baltimore, Md. : 1950)",22
Reperfusion Injury,124,The Journal of surgical research,17
CD4 Lymphocyte Count,124,Journal of acquired immune deficiency syndromes (1999),13
Gene Knockdown Techniques,124,The Journal of biological chemistry,11
Morbidity,124,Gigiena i sanitariia,7
Acid Phosphatase,124,Biochimica et biophysica acta,5
Extracellular Space,124,The American journal of physiology,9
"Receptor, Insulin",123,The Journal of biological chemistry,22
Protein Multimerization,123,The Journal of biological chemistry,18
Likelihood Functions,123,Molecular phylogenetics and evolution,28
Vitreous Body,123,American journal of ophthalmology,21
Virulence Factors,123,Infection and immunity,17
Lactation,123,The American journal of clinical nutrition,15
Immunoglobulin Heavy Chains,123,"Journal of immunology (Baltimore, Md. : 1950)",27
Brachytherapy,123,"International journal of radiation oncology, biology, physics",34
Embryonic and Fetal Development,123,"Development (Cambridge, England)",8
Gold,123,Langmuir : the ACS journal of surfaces and colloids,30
Sarcoma,123,Cancer,16
"Neovascularization, Physiologic",123,The Journal of biological chemistry,7
Detergents,123,The Journal of biological chemistry,18
Kidney Tubules,122,The American journal of physiology,26
Molecular Chaperones,122,The Journal of biological chemistry,20
Nervous System Diseases,122,"Journal of neurology, neurosurgery, and psychiatry",7
Endothelium,122,Investigative ophthalmology & visual science,7
Neural Pathways,122,The Journal of neuroscience : the official journal of the Society for Neuroscience,33
"Hypertension, Pulmonary",122,Circulation,10
Macaca fascicularis,122,Investigative ophthalmology & visual science,9
X-Rays,122,Radiation research,18
Mouth Neoplasms,122,Anticancer research,9
Physical Examination,122,Journal of the Medical Association of Thailand = Chotmaihet thangphaet,4
Globins,121,Blood,14
Testicular Neoplasms,121,Urology,15
Monte Carlo Method,121,Medical physics,32
Myopia,121,"Journal of refractive surgery (Thorofare, N.J. : 1995)",28
PC12 Cells,121,The Journal of biological chemistry,33
Amyloid beta-Peptides,121,The Journal of neuroscience : the official journal of the Society for Neuroscience,13
"Oligonucleotides, Antisense",121,The Journal of biological chemistry,17
Zea mays,121,Poultry science,8
Prostaglandin-Endoperoxide Synthases,121,The Journal of biological chemistry,16
Evidence-Based Medicine,121,Nederlands tijdschrift voor geneeskunde,4
"Serum Albumin, Bovine",120,Journal of immunological methods,7
Guanidines,120,Biochemistry,11
"Receptors, Antigen, T-Cell, alpha-beta",120,"Journal of immunology (Baltimore, Md. : 1950)",26
Carcinoembryonic Antigen,120,Cancer research,15
Phosphoric Monoester Hydrolases,120,The Journal of biological chemistry,16
Coliphages,120,Journal of virology,25
Hospitals,120,Trustee : the journal for hospital governing boards,5
Biofilms,120,Journal of bacteriology,14
"Genes, Regulator",120,Journal of bacteriology,28
Adenine,120,Proceedings of the National Academy of Sciences of the United States of America,7
Titanium,120,Environmental science & technology,16
"Templates, Genetic",120,Proceedings of the National Academy of Sciences of the United States of America,19
Fluoresceins,120,The American journal of physiology,9
Diastole,120,Circulation,12
Vitamin E,120,The Journal of nutrition,8
Soft Tissue Neoplasms,120,Cancer,14
Carotid Artery Diseases,120,Stroke; a journal of cerebral circulation,16
NIH 3T3 Cells,120,The Journal of biological chemistry,19
Phosphatidylinositols,120,The Journal of biological chemistry,20
Nerve Growth Factors,119,The Journal of neuroscience : the official journal of the Society for Neuroscience,13
"Chromosomes, Bacterial",119,Journal of bacteriology,47
Interferon Type I,119,Journal of virology,12
"Echocardiography, Doppler",119,The American journal of cardiology,13
Hemolysis,119,"Journal of immunology (Baltimore, Md. : 1950)",9
beta Catenin,119,The Journal of biological chemistry,9
Metabolic Clearance Rate,119,Clinical pharmacology and therapeutics,14
Th2 Cells,119,"Journal of immunology (Baltimore, Md. : 1950)",29
Ribosomal Proteins,119,Nucleic acids research,13
Outcome and Process Assessment (Health Care),119,Medical care,6
Postmenopause,119,Fertility and sterility,8
Cadmium,118,Chemosphere,9
Radiometry,118,Medical physics,51
"Fatty Acids, Unsaturated",118,Biochimica et biophysica acta,12
"Lipoproteins, HDL",118,The Journal of biological chemistry,14
"Mice, Inbred NOD",118,"Journal of immunology (Baltimore, Md. : 1950)",14
Biomass,118,Water science and technology : a journal of the International Association on Water Pollution Research,15
Ki-67 Antigen,118,Human pathology,7
Mitogen-Activated Protein Kinase 3,118,The Journal of biological chemistry,35
Buffers,118,Journal of chromatography. A,13
Phosphotransferases,118,The Journal of biological chemistry,18
Antimalarials,118,Malaria journal,21
"Peptides, Cyclic",118,Journal of medicinal chemistry,11
Oncogenes,118,Oncogene,16
"Neurons, Afferent",118,The Journal of neuroscience : the official journal of the Society for Neuroscience,16
"Abnormalities, Multiple",118,Human genetics,12
Dental Caries,118,Journal of dental research,12
Retinal Detachment,118,American journal of ophthalmology,24
Platelet Aggregation Inhibitors,118,Journal of medicinal chemistry,10
Streptococcal Infections,118,Journal of clinical microbiology,11
Pneumonectomy,118,The Annals of thoracic surgery,38
3' Untranslated Regions,118,The Journal of biological chemistry,11
Ferric Compounds,117,Environmental science & technology,12
Cell Polarity,117,The Journal of cell biology,8
Interleukin-12,117,"Journal of immunology (Baltimore, Md. : 1950)",28
Task Performance and Analysis,117,"Aviation, space, and environmental medicine",12
"Antibodies, Protozoan",117,Infection and immunity,21
Cytarabine,117,Leukemia research,10
Electrons,117,Medical physics,18
Turkey,116,The Turkish journal of pediatrics,8
Antigen-Antibody Reactions,116,"Journal of immunology (Baltimore, Md. : 1950)",15
Graft vs Host Disease,116,Blood,29
Burns,116,The Journal of trauma,21
Systole,116,Circulation,16
Temporal Lobe,116,Epilepsia,14
Atropine,116,The American journal of physiology,19
Israel,116,Harefuah,23
Acute Kidney Injury,116,Clinical nephrology,13
"Genes, Tumor Suppressor",116,Oncogene,13
"Models, Neurological",115,The Journal of neuroscience : the official journal of the Society for Neuroscience,27
Frontal Lobe,115,The American journal of psychiatry,11
Immunodiffusion,115,The Journal of biological chemistry,9
Apolipoproteins E,115,"Arteriosclerosis, thrombosis, and vascular biology",13
Apoptosis Regulatory Proteins,115,"Journal of immunology (Baltimore, Md. : 1950)",7
Somatostatin,115,The American journal of physiology,12
Mixed Function Oxygenases,115,Biochemical pharmacology,11
Poverty,115,American journal of public health,8
"Hypersensitivity, Delayed",115,"Journal of immunology (Baltimore, Md. : 1950)",12
Viscosity,115,Biophysical journal,11
Filtration,115,Environmental science & technology,17
Arm,115,The Journal of neuroscience : the official journal of the Society for Neuroscience,4
Vascular Surgical Procedures,115,Journal of vascular surgery,29
Nitriles,114,Organic letters,11
Chloramphenicol O-Acetyltransferase,114,The Journal of biological chemistry,22
Income,114,American journal of public health,9
Acoustic Stimulation,114,The Journal of neuroscience : the official journal of the Society for Neuroscience,16
Hyperglycemia,114,Diabetes,16
Hypercholesterolemia,114,"Arteriosclerosis, thrombosis, and vascular biology",7
Cytomegalovirus Infections,114,The Journal of infectious diseases,12
Basement Membrane,114,The Journal of cell biology,8
Arthritis,114,Arthritis and rheumatism,13
Surface-Active Agents,114,Langmuir : the ACS journal of surfaces and colloids,21
"Colitis, Ulcerative",114,Gut,14
Taiwan,114,Journal of natural products,4
"Cytotoxicity Tests, Immunologic",114,"Journal of immunology (Baltimore, Md. : 1950)",24
Mitogens,114,"Journal of immunology (Baltimore, Md. : 1950)",12
Nucleotides,113,The Journal of biological chemistry,13
"Antigens, CD8",113,"Journal of immunology (Baltimore, Md. : 1950)",20
Dietary Carbohydrates,113,The Journal of nutrition,15
Tumor Virus Infections,113,Journal of virology,11
HSP70 Heat-Shock Proteins,113,The Journal of biological chemistry,16
"Hemoglobin A, Glycosylated",113,Diabetes,7
"Receptors, GABA-A",113,Journal of neurochemistry,14
Cataract Extraction,113,Ophthalmology,16
Program Development,113,Academic medicine : journal of the Association of American Medical Colleges,5
"Cholesterol, LDL",113,Metabolism: clinical and experimental,8
Glycogen,113,The American journal of physiology,13
Ribonucleoproteins,113,The Journal of biological chemistry,13
Macrophage Activation,113,"Journal of immunology (Baltimore, Md. : 1950)",18
Anti-Arrhythmia Agents,113,The American journal of cardiology,12
Public Health,113,American journal of public health,10
"Models, Psychological",113,Psychological review,7
Osteotomy,113,Clinical orthopaedics and related research,20
Sputum,113,Journal of clinical microbiology,21
Nitrites,112,The Biochemical journal,5
DNA-Directed DNA Polymerase,112,Nucleic acids research,21
Pediatrics,112,Pediatrics,37
Ovum,112,The Journal of experimental zoology,12
Pseudomonas Infections,112,Infection and immunity,8
Pertussis Toxin,112,The Journal of biological chemistry,18
Radiation Tolerance,112,"International journal of radiation oncology, biology, physics",24
Matrix Metalloproteinase 2,112,The Journal of biological chemistry,5
Folic Acid,112,Biochemistry,6
Corticosterone,112,Endocrinology,23
Cerebral Infarction,112,Stroke; a journal of cerebral circulation,34
Neuronal Plasticity,112,The Journal of neuroscience : the official journal of the Society for Neuroscience,42
Capillaries,112,The American journal of physiology,7
"Polysaccharides, Bacterial",111,Journal of bacteriology,20
Portal Vein,111,Hepato-gastroenterology,10
"Antigens, CD95",111,"Journal of immunology (Baltimore, Md. : 1950)",18
Mothers,111,American journal of public health,5
Aerobiosis,111,Journal of bacteriology,17
Menopause,111,The Journal of clinical endocrinology and metabolism,8
JNK Mitogen-Activated Protein Kinases,111,The Journal of biological chemistry,24
Isoquinolines,111,Journal of medicinal chemistry,7
Extracellular Signal-Regulated MAP Kinases,111,Biochemical and biophysical research communications,10
"Receptors, IgG",111,"Journal of immunology (Baltimore, Md. : 1950)",18
Aspartate Aminotransferases,111,The Journal of surgical research,6
Carcinoma in Situ,111,Human pathology,5
Genetic Testing,111,American journal of human genetics,8
Interprofessional Relations,111,The Journal of nursing administration,8
"Delivery, Obstetric",111,American journal of obstetrics and gynecology,21
"Binding Sites, Antibody",111,"Journal of immunology (Baltimore, Md. : 1950)",26
"Pulmonary Disease, Chronic Obstructive",111,Chest,17
Reflex,111,The American journal of physiology,12
"Active Transport, Cell Nucleus",111,The Journal of biological chemistry,34
Lidocaine,111,Anesthesia and analgesia,14
"Leukemia, Experimental",111,Cancer research,9
"Constriction, Pathologic",110,AJR. American journal of roentgenology,8
Proteomics,110,BMC bioinformatics,11
Interleukin-3,110,Blood,24
G1 Phase,110,The Journal of biological chemistry,12
Fluorides,110,Journal of dental research,10
Neurologic Examination,110,"Journal of neurology, neurosurgery, and psychiatry",18
"Carcinoma, Small Cell",110,Cancer,15
"Infertility, Female",110,Fertility and sterility,47
Reticulocytes,110,The Journal of biological chemistry,20
ras Proteins,110,The Journal of biological chemistry,18
Social Environment,110,Psychological reports,7
Texas,110,Texas medicine,9
Phosphoprotein Phosphatases,110,The Journal of biological chemistry,21
"Ischemic Attack, Transient",110,Stroke; a journal of cerebral circulation,25
"Aortic Aneurysm, Abdominal",109,Journal of vascular surgery,41
Amides,109,Organic letters,11
Freezing,109,Biochimica et biophysica acta,7
Microvilli,109,Biochimica et biophysica acta,18
Prostaglandins,109,The Journal of biological chemistry,7
Gels,109,Langmuir : the ACS journal of surfaces and colloids,5
Health Care Costs,109,Ophthalmology,5
Polysomnography,109,Sleep,31
Inhibitory Concentration 50,109,Journal of natural products,25
Nanotechnology,109,Journal of nanoscience and nanotechnology,36
Major Histocompatibility Complex,109,"Journal of immunology (Baltimore, Md. : 1950)",12
Bacteremia,109,Journal of clinical microbiology,16
Radiation Injuries,109,"International journal of radiation oncology, biology, physics",22
Mitomycin,109,Gan to kagaku ryoho. Cancer & chemotherapy,25
Stomach Ulcer,109,Gut,8
Calcium-Transporting ATPases,109,The Journal of biological chemistry,21
Cysts,109,Radiology,6
"Lectins, C-Type",108,"Journal of immunology (Baltimore, Md. : 1950)",20
Vaginal Smears,108,Acta cytologica,13
STAT3 Transcription Factor,108,The Journal of biological chemistry,17
Vitamin A,108,The American journal of clinical nutrition,9
Prenatal Diagnosis,108,American journal of obstetrics and gynecology,12
Catheter Ablation,108,Circulation,13
Face,108,Plastic and reconstructive surgery,11
H-2 Antigens,108,"Journal of immunology (Baltimore, Md. : 1950)",24
Terminology as Topic,108,International journal of systematic and evolutionary microbiology,8
Blood Vessels,108,The American journal of physiology,6
"Receptors, Fc",108,"Journal of immunology (Baltimore, Md. : 1950)",20
Cyanobacteria,108,Applied and environmental microbiology,10
"Arthroplasty, Replacement, Hip",107,Clinical orthopaedics and related research,21
Disabled Persons,107,Journal of the American Geriatrics Society,8
Hip Prosthesis,107,Clinical orthopaedics and related research,30
Peritonitis,107,Advances in peritoneal dialysis. Conference on Peritoneal Dialysis,10
"Databases, Genetic",107,Nucleic acids research,19
Injury Severity Score,107,The Journal of trauma,42
Bromodeoxyuridine,107,Proceedings of the National Academy of Sciences of the United States of America,8
Seroepidemiologic Studies,107,Epidemiology and infection,14
Salmonella,107,Journal of food protection,10
Hyaluronic Acid,107,The Journal of biological chemistry,7
Educational Measurement,107,Academic medicine : journal of the Association of American Medical Colleges,10
Patient Care Planning,107,"American journal of orthodontics and dentofacial orthopedics : official publication of the American Association of Orthodontists, its constituent societies, and the American Board of Orthodontics",8
Two-Hybrid System Techniques,107,The Journal of biological chemistry,31
Nurse's Role,107,British journal of nursing (Mark Allen Publishing),13
Respiratory Insufficiency,107,Chest,10
Basic Helix-Loop-Helix Transcription Factors,107,"Development (Cambridge, England)",13
Ferritins,107,British journal of haematology,5
"Aorta, Abdominal",106,Journal of vascular surgery,15
Radiographic Image Enhancement,106,Radiology,18
Extremities,106,"Development (Cambridge, England)",13
Nerve Fibers,106,The Journal of neuroscience : the official journal of the Society for Neuroscience,12
Guanine,106,Nucleic acids research,16
Chelating Agents,106,The Journal of biological chemistry,10
Maternal-Fetal Exchange,106,American journal of obstetrics and gynecology,13
Fibrinolytic Agents,106,The American journal of cardiology,7
Lethal Dose 50,106,Infection and immunity,8
Urine,106,Journal of clinical microbiology,10
Pyrazoles,106,Journal of medicinal chemistry,8
Weight Loss,106,The American journal of clinical nutrition,7
Needs Assessment,106,Pediatrics,5
Fibrosarcoma,106,Cancer research,9
"Models, Structural",106,The Journal of biological chemistry,19
Microspheres,106,Journal of immunological methods,8
Caffeine,106,The Journal of biological chemistry,11
